Date,Open,High,Low,Close,Volume
2018-02-07,125.48,125.77,124.41,124.79,8547819
2018-02-08,124.92,125.44,124.51,124.98,7334553
2018-02-09,124.65,125.14,124.4,124.77,14127761
2018-02-12,125.19,125.82,125.11,125.37,6976835
2018-02-13,125.67,126.18,125.52,126.08,5296270
2018-02-14,126.47,128.59,126.29,128.23,16413183
2018-02-15,128.43,128.569,127.94,128.38,7273162
2018-02-16,128.3,128.7,127.569,127.96,7923764
2018-02-20,126.24,127.4,126.24,126.24,11147668
2018-02-21,126.36,126.76,125.44,125.66,7900754
2018-02-22,125.92,126.37,125.88,126.3,5327367
2018-02-23,126.06,126.3,125.85,126.14,4234346
2018-02-26,126.45,126.62,126.18,126.45,3194628
2018-02-27,126.06,126.15,124.59,125.13,7082301
2018-02-28,125.09,125.46,124.81,125,4534884
2018-03-01,124.15,125.31,123.575,124.72,12910071
2018-03-02,125.67,125.69,124.97,125.39,9994341
2018-03-05,125.35,125.48,124.96,125.18,5778343
2018-03-06,126.2,126.956,126.13,126.53,8676781
2018-03-07,126.22,126.29,125.42,125.72,5158674
2018-03-08,125.69,125.7,125.125,125.42,3474944
2018-03-09,124.94,125.69,124.78,125.54,5066833
2018-03-12,125.04,125.57,124.84,125.54,2884269
2018-03-13,125.67,125.99,125.05,125.78,4798303
2018-03-14,125.49,125.76,125.34,125.7,3777021
2018-03-15,125.12,125.21,124.72,124.9,6130124
2018-03-16,124.84,124.87,124.21,124.6,7402188
2018-03-19,124.57,125.16,124.42,124.87,4335420
2018-03-20,124.41,124.55,123.96,124.31,3399440
2018-03-21,125.4,126.76,125.03,126.48,12532035
2018-03-22,126.09,126.34,125.64,125.98,5298709
2018-03-23,127.82,128.06,127.405,127.61,12025882
2018-03-26,128.05,128.58,128.011,128.28,6169843
2018-03-27,127.23,127.62,127.05,127.49,6180707
2018-03-28,126.48,126.61,125.51,125.73,10254883
2018-03-29,125.42,125.81,125.31,125.79,7117156
2018-04-02,126.65,127.54,126.375,127.26,11421144
2018-04-03,126.54,126.59,126.01,126.3,6083717
2018-04-04,127.5,127.53,126.32,126.45,7488254
2018-04-05,125.45,126.083,125.425,125.8,5332957
2018-04-06,126.57,126.6,126.125,126.39,6121225
2018-04-09,126.45,126.86,126.23,126.82,4189864
2018-04-10,127.02,127.305,126.67,127.12,5403992
2018-04-11,128.09,129.47,127.78,128.11,12348564
2018-04-12,127.25,127.34,126.47,126.62,8141339
2018-04-13,127.07,127.75,127.03,127.45,6821338
2018-04-16,127.74,128.05,127.57,127.63,4600039
2018-04-17,127.02,127.78,127.001,127.75,4184077
2018-04-18,128.32,128.54,127.751,127.85,6755575
2018-04-19,127.81,127.884,127.13,127.6,8736103
2018-04-20,126.69,126.97,126.55,126.63,10403128
2018-04-23,125.62,125.76,125.341,125.62,6921519
2018-04-24,125.78,126.34,125.67,126.23,4733107
2018-04-25,125.23,125.51,125.06,125.41,5985694
2018-04-26,125.54,125.57,124.69,124.97,7517135
2018-04-27,125.2,125.62,125.17,125.5,5653996
2018-04-30,124.41,125.2,124.19,124.59,9830612
2018-05-01,123.9,123.985,123.39,123.71,7551577
2018-05-02,123.9,124.54,123.58,123.65,7614019
2018-05-03,124.66,124.76,124.24,124.28,4857387
2018-05-04,124.1,124.65,124,124.54,5883574
2018-05-07,124.5,124.7,124.3,124.57,3397508
2018-05-08,124.14,124.95,123.79,124.59,5551078
2018-05-09,124.45,124.87,124.24,124.33,4405593
2018-05-10,125.22,125.372,124.75,125.18,5218356
2018-05-11,125.57,125.59,124.94,125,4299164
2018-05-14,125.16,125.21,124.44,124.49,3753223
2018-05-15,122.82,122.82,122.13,122.48,10911900
2018-05-16,122.38,122.61,122.03,122.29,4943275
2018-05-17,122.23,122.43,122.04,122.36,7781336
2018-05-18,122.05,122.65,122.01,122.41,6837125
2018-05-21,122.16,122.53,121.97,122.48,4126673
2018-05-22,122.7,122.74,122.34,122.41,4579602
2018-05-23,122.14,122.74,122.11,122.54,7007256
2018-05-24,123.1,123.82,123.08,123.59,8850085
2018-05-25,123.66,123.7,123.21,123.21,7920650
2018-05-29,122.84,123.64,122.66,123.19,9013170
2018-05-30,123.17,123.61,123.17,123.37,4573697
2018-05-31,123.26,123.78,123.1,123.1,7862495
2018-06-01,122.58,123.09,122.44,122.49,8059121
2018-06-04,122.85,122.93,122.37,122.37,4345370
2018-06-05,122.55,123.226,122.281,122.85,6864209
2018-06-06,123.08,123.35,122.63,122.92,4083702
2018-06-07,122.96,123.145,122.69,122.86,3700745
2018-06-08,123.08,123.12,122.91,123.01,3865667
2018-06-11,123.1,123.42,123.018,123.23,3201179
2018-06-12,122.95,123.18,122.64,122.82,7279620
2018-06-13,122.84,123.34,122.47,123.19,5867744
2018-06-14,123.63,123.86,123.32,123.38,8015447
2018-06-15,122.18,122.2,120.83,121.34,14536993
2018-06-18,121.35,121.44,120.99,121.11,3845950
2018-06-19,120.81,121.03,120.581,120.8,4925832
2018-06-20,120.79,120.81,120.16,120.26,4548491
2018-06-21,119.92,120.32,119.821,120.05,5681906
2018-06-22,120.21,120.4,120.1,120.34,4518408
2018-06-25,120,120.23,119.83,119.89,9300195
2018-06-26,119.28,119.59,119.09,119.26,8675447
2018-06-27,118.96,119.05,118.48,118.58,6480501
2018-06-28,118.59,118.67,118.01,118.22,7760936
2018-06-29,118.43,118.94,118.26,118.65,8002828
2018-07-02,118.18,118.21,117.4,117.46,12021957
2018-07-03,118.41,119.08,118.38,118.65,8900973
2018-07-05,118.92,119.33,118.77,119.05,4951873
2018-07-06,118.97,119.03,118.731,118.86,2947058
2018-07-09,119.65,119.73,119.14,119.15,4075297
2018-07-10,118.89,119,118.61,118.93,3754770
2018-07-11,118.45,118.53,117.62,117.64,6974791
2018-07-12,118,118.264,117.94,118.13,4585460
2018-07-13,117.62,117.75,117.447,117.61,5444284
2018-07-16,117.51,117.625,117.28,117.55,3670943
2018-07-17,116.72,116.925,116.12,116.28,7939635
2018-07-18,116.03,116.35,115.83,116.31,5391963
2018-07-19,115.13,116.47,115.12,115.81,14227628
2018-07-20,116.4,116.71,116.24,116.56,7892317
2018-07-23,116.25,116.31,115.76,116,6247368
2018-07-24,116.22,116.43,115.91,116.04,4801046
2018-07-25,116.79,116.837,116.27,116.68,5480914
2018-07-26,116.24,116.51,115.77,115.77,6382946
2018-07-27,115.92,116.24,115.77,115.83,5242099
2018-07-30,115.8,116.02,115.64,115.65,4157371
2018-07-31,115.47,116.35,115.394,115.99,5508456
2018-08-01,115.63,115.7,115.125,115.14,7941660
2018-08-02,115.17,115.23,114.42,114.52,6204210
