Date,Open,High,Low,Close,Volume
2018-04-09,86.1392,88.1507,85.7372,85.8802,33329096.225264
2018-04-10,87.414,88.2568,86.7042,87.8765,28473503.583865
2018-04-11,86.9127,88.2667,86.5523,86.9127,26288018.305138
2018-04-12,87.4516,89.0898,87.4516,88.5418,28282197.546596
2018-04-13,88.9855,89.1066,87.4606,88.0662,24675095.329381
2018-04-16,89.0044,89.5614,88.3869,89.0977,21443031.392756
2018-04-17,89.882,91.3404,89.7698,90.8955,28295007.22044
2018-04-18,91.0365,91.5101,90.3764,91.247,22241230.102105
2018-04-19,91.247,91.8397,90.2037,90.9323,24893329.180669
2018-04-20,90.7427,90.9323,88.9855,89.882,32927917.829399
2018-04-23,90.5889,91.1032,89.5355,90.2136,23603123.963458
2018-04-24,91.0585,91.2739,87.4339,88.104,36490209.859411
2018-04-25,88.2757,88.2757,85.4166,87.3386,35649380.732787
2018-04-26,88.513,90.025,88.0851,89.1802,44950115.539218
2018-04-27,92.3431,92.626,88.8525,90.6573,51020831.202444
2018-04-30,91.1418,91.2044,88.1327,88.4832,43887442.443271
2018-05-01,88.1894,90.156,87.7922,89.882,33196959.257061
2018-05-02,89.873,90.0437,88.1694,88.4733,29034859.814528
2018-05-03,87.954,89.8115,87.4706,89.0044,32915364.006553
2018-05-04,88.2936,90.2314,87.9163,90.034,23813976.412693
2018-05-07,90.0437,91.5011,89.9793,91.0365,25622057.292731
2018-05-08,90.6821,90.9819,89.9435,90.6503,24821509.589168
2018-05-09,90.839,91.7484,89.9307,91.7186,28883093.836794
2018-05-10,92.21,92.6736,91.8208,92.6349,23662620.400929
2018-05-11,92.5326,92.5982,91.812,92.4373,17733463.872231
2018-05-14,92.6449,93.3755,92.071,92.7491,20561598.511106
2018-05-15,92.0026,92.5803,91.1518,92.081,25994087.813151
2018-05-16,92.5149,92.5536,91.806,92.3162,18295114.230815
2018-05-17,91.945,92.6866,91.0615,91.394,18149861.373398
2018-05-18,91.2332,92.1087,91.2332,91.5658,18801408.103135
2018-05-21,92.1723,93.1333,91.9827,92.7421,20439548.51891
2018-05-22,92.8205,93.2842,92.3639,92.6478,16249785.942557
2018-05-23,91.8973,93.8203,91.5271,93.7528,22364067.793047
2018-05-24,93.8153,94.0168,91.9926,93.4172,28044810.125427
2018-05-25,93.4084,94.0536,92.9903,93.4648,19325568.23204
2018-05-29,92.9715,93.9583,92.3916,93.1333,30172371.342311
2018-05-30,93.4172,94.3107,93.035,94.0268,23318887.605393
2018-05-31,94.3485,95.0185,93.7031,93.9196,35928721.674098
2018-06-01,94.3395,95.8366,94.2382,95.77,30156210.423292
2018-06-04,96.2198,96.7907,95.8276,96.609,28710258.428548
2018-06-05,96.9256,97.2493,96.471,97.1133,24745761.576811
2018-06-06,97.3922,97.5005,96.8294,97.4022,22229045.953736
2018-06-07,97.5512,97.5909,95.3899,95.8555,29710611.660448
2018-06-08,96.057,96.877,95.5348,96.5692,23325831.844717
2018-06-11,96.326,96.5306,95.6559,96.0173,24721022.598308
2018-06-12,96.0669,96.4025,95.7403,96.2675,19284851.660824
2018-06-13,96.6577,96.9356,95.5536,95.8276,31037304.856377
2018-06-14,96.5891,96.9555,95.9696,96.3737,27037194.351385
2018-06-15,96.4611,96.471,95.094,95.1497,69181066.628758
2018-06-18,95.0375,96.0768,94.4726,95.8366,24821149.987567
2018-06-19,94.6929,95.9696,94.5499,95.8366,30153542.118974
2018-06-20,96.326,97.432,96.0848,96.8005,27551783.23543
2018-06-21,96.9951,97.3734,95.8555,96.1047,24412989.075455
2018-06-22,95.4187,95.7503,94.6691,95.4187,40961360.185068
2018-06-25,95.0275,95.1307,92.4592,93.4937,37288841.702342
2018-06-26,93.9007,95.104,93.8363,94.1489,28305750.94783
2018-06-27,94.6254,95.0463,92.5536,92.6866,32937365.177908
